id,name,artists,album,release_date,duration_ms,popularity,external_url,genre
04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",I’m The Problem,2025-05-16,184517,89,https://open.spotify.com/track/04emojnbYkrRmv5qtJcgVP,Country
0qmhTHMVxnXRmT5N92wTD9,Bloodline (with Jelly Roll),"Alex Warren, Jelly Roll",Bloodline (with Jelly Roll),2025-05-22,182008,85,https://open.spotify.com/track/0qmhTHMVxnXRmT5N92wTD9,Country
2uqYupMHANxnwgeiXTZXzd,Austin (Boots Stop Workin'),Dasha,What Happens Now?,2024-02-16,171782,86,https://open.spotify.com/track/2uqYupMHANxnwgeiXTZXzd,Country
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),2024-04-12,171291,85,https://open.spotify.com/track/2FQrifJ1N335Ljm3TjTVVf,Country
416qRAJLm9OZmYvuu7vZZp,Small Town Anthem,Jimmie Allen,Small Town Anthem,2025-08-06,183440,46,https://open.spotify.com/track/416qRAJLm9OZmYvuu7vZZp,Country
0llPOBVoJYDAtdmVlNE41A,Liar,Jelly Roll,Beautifully Broken,2024-10-10,204933,79,https://open.spotify.com/track/0llPOBVoJYDAtdmVlNE41A,Country
4pkb8SbRGeHAvdb87v9rpf,Miles On It,"Marshmello, Kane Brown",Miles On It,2024-05-03,168355,82,https://open.spotify.com/track/4pkb8SbRGeHAvdb87v9rpf,Country
4LQ8f2xjt7BZ77237E0b3X,Stardust,Gabi Sklar,Stardust,2025-07-18,168224,50,https://open.spotify.com/track/4LQ8f2xjt7BZ77237E0b3X,Country
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",F-1 Trillion,2024-08-15,178205,85,https://open.spotify.com/track/5IZXB5IKAD2qlvTPJYDCFB,Country
6tWGe6nvXFWT0KhGCXM89q,DEVIL YOU KNOW,Tyler Braden,DEVIL YOU KNOW,2024-02-02,192693,71,https://open.spotify.com/track/6tWGe6nvXFWT0KhGCXM89q,Country
3Rfre3qkrhwdZZ7dyznwbN,Lonely Road (with Jelly Roll),"mgk, Jelly Roll",Lonely Road (with Jelly Roll),2024-07-26,189356,76,https://open.spotify.com/track/3Rfre3qkrhwdZZ7dyznwbN,Country
60E31W18sYm2CprH6sDOhl,Beer 99,Jimmie Allen,Beer 99,2025-08-06,142973,41,https://open.spotify.com/track/60E31W18sYm2CprH6sDOhl,Country
4xwYkOUUKcfhAYRAufyAG3,BETTER DOWN THE LINE,Tom Morgan,BETTER DOWN THE LINE,2025-08-01,208880,54,https://open.spotify.com/track/4xwYkOUUKcfhAYRAufyAG3,Country
